# event# KE_neutrino(MeV) cos(theta_e+)_wrt_neutrino_momentum_direction KE_e+(MeV) cos(theta_neutron)_wrt_neutrino_momentum_direction KE_neutron(MeV)
         7  1.807     0.344631881 0.0007341259502    0.9998976332  0.001719874095
         8  1.808   -0.1159601728  0.001704191638    0.9997382471  0.001749808412
         9  1.809   -0.9153028377  0.002619783082    0.9999368303  0.001834216942
        10   1.81   -0.1444017501   0.00369145748    0.9994401694  0.001762542523
        11  1.811   0.01514815586   0.00470812017    0.9992631956  0.001745879848
        12  1.812    0.2601054562  0.005742129282    0.9991444205  0.001711870756
        13  1.813   -0.4082519533  0.006636087322     0.999167066  0.001817912706
        14  1.814   -0.7158321771  0.007576659886    0.9994607726  0.001877340169
        15  1.815    0.1522440752  0.008724046985    0.9986480932  0.001729953034
        16  1.816   -0.1440202938  0.009665907886    0.9985458253  0.001788092135
        17  1.817   -0.6534509044   0.01055932457    0.9991222422  0.001894675458
        18  1.818   -0.1850757296   0.01164943959    0.9982838521   0.00180456041
        19  1.819    0.6286514616   0.01282636197     0.998686833   0.00162763804
        20   1.82   -0.6979613709   0.01352382539    0.9990094415  0.001930174602
        21  1.821    0.6523291524   0.01483796371    0.9985437801  0.001616036306
        22  1.822    0.9497868354   0.01591532527    0.9997202901  0.001538674769
        23  1.823    0.4827227462   0.01679989916    0.9978445402  0.001654100874
        24  1.824   -0.4544755006   0.01755461767    0.9979695152  0.001899382329
        25  1.825   -0.3851902648   0.01856729526    0.9976768275  0.001886704739
        26  1.826   -0.4830445312   0.01953489649    0.9978349103  0.001919103521
        27  1.827    0.4105118141   0.02078366843    0.9971252376  0.001670331619
        28  1.828    0.7439877936   0.02188235507     0.998271846  0.001571644991
        29  1.829    0.4308909969   0.02279055697    0.9968935452  0.001663443039
        30   1.83     0.367571089   0.02377149743    0.9965939488  0.001682502599
        31  1.831   -0.2253026208   0.02458577732    0.9965152261  0.001868222702
        32  1.832   -0.3984235371   0.02552668631    0.9968895424  0.001927313711
        33  1.833    0.2629527128   0.02673698023    0.9959469799  0.001717019821
        34  1.834    0.3521561595   0.02776589456    0.9959673549  0.001688105458
        35  1.835   -0.0661127544   0.02862370166    0.9956377693  0.001830298366
        36  1.836   -0.4040034185   0.02950458032    0.9964503109  0.001949419717
        37  1.837   -0.4551723809   0.03048171753    0.9965627026   0.00197228249
        38  1.838 -0.006783447228   0.03163607146     0.995109522  0.001817928578
        39  1.839   -0.1726114587   0.03257337851    0.9952734846   0.00188062148
        40   1.84   -0.3100180249   0.03351929249    0.9955921117   0.00193470752
        41  1.841   -0.3252352448   0.03450927458    0.9955292564  0.001944725426
        42  1.842   -0.7779615666     0.035333723    0.9981474349  0.002120277042
        43  1.843   0.07821404655   0.03665600971    0.9942759395  0.001797990268
        44  1.844   -0.2851552498   0.03751175511    0.9949853754  0.001942244913
        45  1.845   -0.1364329746   0.03856656354    0.9943250489  0.001887436486
        46  1.846   -0.6309310859   0.03936493487    0.9967917056  0.002089065174
        47  1.847   -0.1865290659   0.04053955863    0.9942047205  0.001914441395
        48  1.848    0.3300972395   0.04174980731    0.9938023072  0.001704192678
        49  1.849   0.03578435583   0.04262550179    0.9933829214  0.001828498221
        50   1.85     0.417282064   0.04378533706    0.9938355139  0.001668662945
        51  1.851   0.05700815842   0.04462988299    0.9930546274   0.00182411702
        52  1.852   -0.1854290278   0.04552230712    0.9935153028  0.001931692922
        53  1.853    -0.196385805   0.04651397544    0.9934246767  0.001940024571
        54  1.854    0.8092539012   0.04795922055    0.9968427039  0.001494779443
        55  1.855    0.6204610565   0.04887521918    0.9945600451  0.001578780858
        56  1.856    0.9613348227   0.05003210273    0.9992385573  0.001421897295
        57  1.857   -0.9692237414    0.0501460875    0.9996242701  0.002307912545
        58  1.858   -0.4586097524   0.05137458378    0.9944122827  0.002079416226
        59  1.859    0.8655840172   0.05299336681    0.9973942676  0.001460633227
        60   1.86    0.4045128617   0.05377475775    0.9923039002  0.001679242286
        61  1.861    0.5804052097   0.05485893735    0.9934436101  0.001595062693
        62  1.862   -0.4943624558   0.05533803774    0.9943191929  0.002115962279
        63  1.863   -0.8096708772   0.05617964162    0.9975562397  0.002274358376
        64  1.864    0.2295106221   0.05768549953    0.9910831803   0.00176850048
        65  1.865    -0.866167462   0.05813875943    0.9981958816    0.0023152406
        66  1.866   0.07453537639   0.05960431924    0.9907347277  0.001849680811
        67  1.867   -0.2037499598    0.0604606516     0.991591299  0.001993348412
        68  1.868    0.4613989484    0.0617988293    0.9914888951  0.001655170775
        69  1.869     0.214431426   0.06267011536    0.9902797809  0.001783884714
        70   1.87  -0.03467771271   0.06353825789    0.9903855318  0.001915742188
        71  1.871   -0.5499347751   0.06426460753    0.9940642556  0.002189392556
        72  1.872    0.3885176871   0.06575806922    0.9904257606  0.001695930849
        73  1.873   -0.3074975237   0.06638389569    0.9915556933  0.002070104328
        74  1.874   -0.3909197957   0.06733491623     0.992166675  0.002119083804
        75  1.875   -0.5711333407   0.06823267601    0.9939777844  0.002221324052
        76  1.876    0.4353717566   0.06978052355    0.9901341084  0.001673476471
        77  1.877   -0.6467213477   0.07018064889    0.9947672231  0.002273351135
        78  1.878    0.4296902418   0.07177599907    0.9897976313  0.001678000951
        79  1.879   -0.7465346958   0.07211378369    0.9960207885  0.002340216334
        80   1.88    0.8947039968   0.07403992993    0.9969489486  0.001414070105
        81  1.881    0.1140563693   0.07459290737     0.988390104  0.001861092649
        82  1.882    0.8098260313     0.075993291     0.994754929  0.001460709001
        83  1.883   -0.4130993616   0.07628290741    0.9914478941  0.002171092613
        84  1.884    0.6784796608   0.07791779218    0.9919567181  0.001536207859
        85  1.885   -0.2502625287   0.07836978122    0.9896265196  0.002084218821
        86  1.886  -0.08749296656   0.07946257268    0.9883269472  0.001991427329
        87  1.887    0.4015827533   0.08075238881    0.9882519383  0.001701611196
        88  1.888    0.7415831853   0.08195717529    0.9927351701  0.001496824725
        89  1.889    0.7665869747   0.08297296069    0.9931848414  0.001481039333
        90   1.89    0.4261041377   0.08376464163    0.9879880382  0.001689358409
        91  1.891    0.4313264429   0.08476702781    0.9878820798  0.001686972216
